concurrency,batch_size,duration_seconds,total_requests,success_requests,success_rate_pct,error_rate_pct,e2e_ms_p50,e2e_ms_p95,e2e_ms_mean,req_per_sec,samples_per_sec,server_ms_mean
1,100,60,182,180,98.9,1.1,98.6437,110.6624,101.7122,3.0,300.0,10.1339
2,100,60,1183,1183,100.0,0.0,98.7525,111.8999,101.3767,19.7167,1971.6667,10.236
4,100,60,2252,2252,100.0,0.0,101.5747,121.35,106.5193,37.5333,3753.3333,10.9793
8,100,60,4131,4131,100.0,0.0,112.0189,135.3254,116.2175,68.85,6885.0,11.974
16,100,60,5511,5497,99.75,0.25,142.5944,177.7487,174.4302,91.6167,9161.6667,12.1984
32,100,60,5662,5454,96.33,3.67,150.1203,1150.3134,238.0369,90.9,9090.0,12.3606
