system,phase,runs,success_runs,success_rate_pct,e2e_ms_mean,e2e_ms_p50,e2e_ms_p95,e2e_ms_min,e2e_ms_max,samples_per_sec_mean,server_ms_mean,api_cost_usd_mean,infra_cost_usd_mean,total_cost_usd_mean
gemini,cold,1,1,100.0,18675.1282,18675.1282,18675.1282,18675.1282,18675.1282,5.3547,,0.0046825,0.0,0.0046825
gemini,warm,1,1,100.0,14001.2028,14001.2028,14001.2028,14001.2028,14001.2028,7.1422,,0.0046825,0.0,0.0046825
traditional,cold,1,1,100.0,15.6064,15.6064,15.6064,15.6064,15.6064,6407.6379,6.749,0.0,5e-08,5e-08
traditional,warm,1,1,100.0,20.4358,20.4358,20.4358,20.4358,20.4358,4893.3655,15.3143,0.0,6e-08,6e-08
