concurrency,batch_size,duration_seconds,total_requests,success_requests,success_rate_pct,error_rate_pct,e2e_ms_p50,e2e_ms_p95,e2e_ms_mean,req_per_sec,samples_per_sec,server_ms_mean
1,5,30,20,20,100.0,0.0,1485.2709,1636.8458,1551.7625,0.6667,3.3333,1440.1992
2,5,30,23,23,100.0,0.0,2801.9257,2911.4035,2760.3668,0.7667,3.8333,2643.0368
4,5,30,25,25,100.0,0.0,5609.5812,5742.0784,5297.1445,0.8333,4.1667,5190.1276
8,5,30,28,28,100.0,0.0,11220.272,11457.4692,9933.5539,0.9333,4.6667,9813.5728
16,5,30,36,36,100.0,0.0,21500.5881,22698.0355,17886.3331,1.2,6.0,17764.213
32,5,30,53,52,98.11,1.89,37849.024,44050.2926,31488.0981,1.7333,8.6667,31348.1021
64,5,30,133,83,62.41,37.59,60256.0067,86710.0862,56274.5252,2.7667,13.8333,56126.0628
128,5,30,199,144,72.36,27.64,110111.0258,181054.2184,107451.6867,4.8,24.0,106757.0791
