concurrency,batch_size,duration_seconds,total_requests,success_requests,success_rate_pct,error_rate_pct,e2e_ms_p50,e2e_ms_p95,e2e_ms_mean,req_per_sec,samples_per_sec,server_ms_mean
1,5,60,9,9,100.0,0.0,7270.594,7535.9162,7306.7685,0.15,0.75,7199.2503
2,5,60,10,10,100.0,0.0,14258.5419,14545.4212,13635.1927,0.1667,0.8333,13534.457
4,5,60,12,12,100.0,0.0,28484.6105,29257.3664,25294.4822,0.2,1.0,25192.9971
8,5,60,20,4,20.0,80.0,19193.3306,28844.7982,19210.4055,0.0667,0.3333,19104.3509
16,5,60,35,0,0.0,100.0,,,,0.0,0.0,
32,5,60,81,0,0.0,100.0,,,,0.0,0.0,
