concurrency,batch_size,duration_seconds,total_requests,success_requests,success_rate_pct,error_rate_pct,e2e_ms_p50,e2e_ms_p95,e2e_ms_mean,req_per_sec,samples_per_sec,server_ms_mean
1,5,60,29,29,100.0,0.0,2046.1823,2173.4744,2122.9569,0.4833,2.4167,1999.7384
2,5,60,32,32,100.0,0.0,3880.7,3962.0869,3818.5492,0.5333,2.6667,3705.8717
4,5,60,34,34,100.0,0.0,7747.5774,7901.583,7443.6024,0.5667,2.8333,7317.9789
8,5,60,38,38,100.0,0.0,15494.1686,15619.6855,14127.6329,0.6333,3.1667,14001.9446
16,5,60,46,46,100.0,0.0,30166.6243,31030.1077,25984.918,0.7667,3.8333,25860.7404
32,5,60,61,61,100.0,0.0,59059.0805,61619.0645,46593.4828,1.0167,5.0833,46457.4022
64,5,60,64,0,0.0,100.0,,,,0.0,0.0,
