concurrency,batch_size,duration_seconds,total_requests,success_requests,success_rate_pct,error_rate_pct,e2e_ms_p50,e2e_ms_p95,e2e_ms_mean,req_per_sec,samples_per_sec,server_ms_mean
1,5,60,7,7,100.0,0.0,8341.0276,14228.064,9554.1205,0.1167,0.5833,9462.1236
2,5,60,9,9,100.0,0.0,16246.9961,17186.6229,15704.2138,0.15,0.75,15611.5702
4,5,60,10,10,100.0,0.0,37395.1135,39913.9318,32071.7656,0.1667,0.8333,31947.9325
8,5,60,14,14,100.0,0.0,68161.3785,74107.0955,55363.28,0.2333,1.1667,55231.7452
16,5,60,23,23,100.0,0.0,99621.6162,128539.5775,88817.8009,0.3833,1.9167,88690.0233
32,5,60,43,38,88.37,11.63,164789.7171,257120.65,157907.5929,0.6333,3.1667,157755.5855
