concurrency,batch_size,duration_seconds,total_requests,success_requests,success_rate_pct,error_rate_pct,e2e_ms_p50,e2e_ms_p95,e2e_ms_mean,req_per_sec,samples_per_sec,server_ms_mean
1,5,30,20,20,100.0,0.0,1506.8007,1579.0746,1529.9089,0.6667,3.3333,1413.2544
2,5,30,23,23,100.0,0.0,2772.1218,2886.22,2742.6412,0.7667,3.8333,2608.336
4,5,30,25,25,100.0,0.0,5528.7721,5634.5491,5204.606,0.8333,4.1667,5079.228
8,5,30,29,29,100.0,0.0,11061.1632,11167.8334,9749.5089,0.9667,4.8333,9632.4357
16,5,30,37,37,100.0,0.0,21165.5067,22320.8053,17577.2435,1.2333,6.1667,17450.1903
32,5,30,55,52,94.55,5.45,37196.1515,43324.3593,30888.2212,1.7333,8.6667,30759.0405
64,5,30,104,84,80.77,19.23,58750.039,84847.4522,54663.7184,2.8,14.0,54484.331
128,5,30,353,146,41.36,58.64,106362.3874,179618.299,105074.4355,4.8667,24.3333,104701.7337
