batch_size,runs,success_runs,success_rate_pct,e2e_ms_mean,e2e_ms_p50,e2e_ms_p95,e2e_ms_min,e2e_ms_max,samples_per_sec_mean,server_ms_mean
1,3,3,100.0,92.491,87.9417,103.0434,84.8099,104.7214,10.9038,0.3314
5,3,3,100.0,84.2992,83.5956,88.2704,80.5123,88.7898,59.409,0.6564
50,3,3,100.0,91.3713,91.0789,95.7748,86.7384,96.2966,548.2166,4.4541
500,3,3,100.0,219.229,217.055,223.6935,216.2008,224.4311,2281.3612,51.3245
5000,3,3,100.0,969.8357,993.6036,1017.5392,895.7047,1020.1987,5171.797,497.9296
